Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2025-01-02,0.28663536551017,0.270617272390942,0.24478654998943,0.236041981610743
2025-01-03,0.309146363716286,0.270617272390942,0.259012781085237,0.236041981610743
2025-01-06,0.322431542985469,0.270617272390942,0.267408589600795,0.236041981610743
2025-01-07,0.209466541026502,0.270617272390942,0.196018320324776,0.236041981610743
2025-01-08,0.209466541026502,0.270617272390942,0.196018320324776,0.236041981610743
2025-01-09,0.209466541026502,0.270617272390942,0.196018320324776,0.236041981610743
2025-01-10,0.209466541026502,0.270617272390942,0.196018320324776,0.236041981610743
2025-01-13,0.209466541026502,0.270617272390942,0.196018320324776,0.236041981610743
2025-01-14,0.20723426494322,0.270617272390942,0.194607593215315,0.236041981610743
2025-01-15,0.209236227402661,0.266786165481588,0.196375540664036,0.232497817597867
2025-01-16,0.209236227402661,0.266786165481588,0.196375540664036,0.232497817597867
2025-01-17,0.209236227402661,0.266786165481588,0.196375540664036,0.232497817597867
2025-01-21,0.209236227402661,0.266786165481588,0.196375540664036,0.232497817597867
2025-01-22,0.232276109605448,0.266786165481588,0.210984598752197,0.232497817597867
2025-01-23,0.232276109605448,0.266786165481588,0.210984598752197,0.232497817597867
2025-01-24,0.232276109605448,0.266786165481588,0.210984598752197,0.232497817597867
2025-01-27,0.232276109605448,0.266786165481588,0.210984598752197,0.232497817597867
2025-01-28,0.242424629147151,0.266786165481588,0.217419541005316,0.232497817597867
2025-01-29,0.242424629147151,0.266786165481588,0.217419541005316,0.232497817597867
2025-01-30,0.242424629147151,0.266786165481588,0.217419541005316,0.232497817597867
2025-01-31,0.242424629147151,0.266786165481588,0.213371996193099,0.229990745365645
2025-02-03,0.225256900954776,0.256319200426391,0.187168441361037,0.207672504346567
2025-02-04,0.222080886304094,0.256319200426391,0.185184848415859,0.207672504346567
2025-02-05,0.222080886304094,0.256319200426391,0.185184848415859,0.207672504346567
2025-02-06,0.222080886304094,0.256319200426391,0.185184848415859,0.207672504346567
2025-02-07,0.222080886304094,0.256319200426391,0.185184848415859,0.207672504346567
2025-02-10,0.222080886304094,0.256319200426391,0.185184848415859,0.207672504346567
2025-02-11,0.247943839519331,0.256319200426391,0.201337661668218,0.207672504346567
2025-02-12,0.210728147138617,0.270334969679681,0.180887211448769,0.219130417275622
2025-02-13,0.210728147138617,0.270334969679681,0.180887211448769,0.219130417275622
2025-02-14,0.210728147138617,0.270334969679681,0.180887211448769,0.219130417275622
2025-02-18,0.210728147138617,0.270334969679681,0.180887211448769,0.219130417275622
2025-02-19,0.227690071606869,0.270334969679681,0.192721262315828,0.219130417275622
2025-02-20,0.227690071606869,0.270334969679681,0.192721262315828,0.219130417275622
2025-02-21,0.227690071606869,0.270334969679681,0.192721262315828,0.219130417275622
2025-02-24,0.227690071606869,0.270334969679681,0.192721262315828,0.219130417275622
2025-02-25,0.230486984684081,0.270334969679681,0.194672621767312,0.219130417275622
2025-02-26,0.230486984684081,0.270334969679681,0.194672621767312,0.219130417275622
2025-02-27,0.230486984684081,0.270334969679681,0.194672621767312,0.219130417275622
2025-02-28,0.230486984684081,0.270334969679681,0.193768636150233,0.217961646867522
